,Population,Accidents,Pop_Density,Vehicles,Licenses,Visibility,Temperature,Humidity,Pressure,Wind_Speed,Precipitation,Lat,Lng
Population,1.0,0.9126056901837543,0.9977108151798977,0.9907309350908349,0.9953556792385145,0.1459812456652067,0.42701425236800494,0.01916609433833874,0.24465949087401118,0.20175449493976366,0.191357864848716,0.3886716426119433,0.057449524834687515
Accidents,0.9126056901837543,1.0,0.9089668005766802,0.9120840767271216,0.9141686156847114,0.1317007128129992,0.38709274672524535,0.07646881858428553,0.16841355885129083,0.23873315072383006,0.01165590483647769,0.35503512946255805,0.18465186064825334
Pop_Density,0.9977108151798977,0.9089668005766802,1.0,0.9880415784337045,0.9956531920074914,0.12859873984736805,0.4083585024265802,0.0068923296324379015,0.2578965364012191,0.1960999335937011,0.21590669695029904,0.3671351166672611,0.03943979528776052
Vehicles,0.9907309350908349,0.9120840767271216,0.9880415784337045,1.0,0.9923915917297227,0.14022627025796558,0.4162500530832045,0.007135240709389916,0.2484111116487124,0.19987409585879815,0.11676192082304768,0.383304893583924,0.07970557565493419
Licenses,0.9953556792385145,0.9141686156847114,0.9956531920074914,0.9923915917297227,1.0,0.14992594939357815,0.4337234526599485,0.004343207714328192,0.2640070812664403,0.22204808739602167,0.1841024530634845,0.3886941927545395,0.043168923745642004
Visibility,0.1459812456652067,0.1317007128129992,0.12859873984736805,0.14022627025796558,0.14992594939357815,1.0,0.38166762487774236,0.6032589381549291,0.4529824372507885,0.12025187357771802,0.16722359184819324,0.3727800032506339,0.29531332671861515
Temperature,0.42701425236800494,0.38709274672524535,0.4083585024265802,0.4162500530832045,0.4337234526599485,0.38166762487774236,1.0,0.23861024507322184,0.334013567856682,0.465962575388921,0.2586631131720589,0.891032262662597,0.05998213790687516
Humidity,0.01916609433833874,0.07646881858428553,0.0068923296324379015,0.007135240709389916,0.004343207714328192,0.6032589381549291,0.23861024507322184,1.0,0.5709405543802444,0.09787994199042604,0.34272058751803514,0.19310590872368394,0.4684400766646166
Pressure,0.24465949087401118,0.16841355885129083,0.2578965364012191,0.2484111116487124,0.2640070812664403,0.4529824372507885,0.334013567856682,0.5709405543802444,1.0,0.21953948276205673,0.4911027009359611,0.1499289493971295,0.6016460918639709
Wind_Speed,0.20175449493976366,0.23873315072383006,0.1960999335937011,0.19987409585879815,0.22204808739602167,0.12025187357771802,0.465962575388921,0.09787994199042604,0.21953948276205673,1.0,0.16686648223161013,0.3120020335386899,0.07093440454605525
Precipitation,0.191357864848716,0.01165590483647769,0.21590669695029904,0.11676192082304768,0.1841024530634845,0.16722359184819324,0.2586631131720589,0.34272058751803514,0.4911027009359611,0.16686648223161013,1.0,0.20067338728738543,0.5033402180851381
Lat,0.3886716426119433,0.35503512946255805,0.3671351166672611,0.383304893583924,0.3886941927545395,0.3727800032506339,0.891032262662597,0.19310590872368394,0.1499289493971295,0.3120020335386899,0.20067338728738543,1.0,0.09136316760371577
Lng,0.057449524834687515,0.18465186064825334,0.03943979528776052,0.07970557565493419,0.043168923745642004,0.29531332671861515,0.05998213790687516,0.4684400766646166,0.6016460918639709,0.07093440454605525,0.5033402180851381,0.09136316760371577,1.0
